,Tg (K),CANON SMILES,Sources
32,397.6490423342981,C=CC1CCCCC1,"['https://www.polymerdatabase.com/polymers/polycyclohexylethylene.html', 'https://anl.app.box.com/file/972215335424', '10.1021/acs.macromol.5b02642', 'Prediction of Polymer Properties 3rd edition, Jozef Bicerano ']"
33,219.99969802640985,C=C,"['https://www.polymerdatabase.com/polymers/polyethylene.html', 'https://anl.app.box.com/file/972215335424', '10.1021/ma0627774', '10.1021/ma800616h', 'Prediction of Polymer Properties 3rd edition, Jozef Bicerano ', 'Prediction of Polymer Properties 3rd edition, Jozef Bicerano ']"
34,225.0,C=CCCCCCCC,['https://www.polymerdatabase.com/polymers/Polynonene.html']
35,218.0,C=CCCCCCC,['https://www.polymerdatabase.com/polymers/polyoctene.html']
36,198.22284625352668,C=C(C)C,"['https://www.polymerdatabase.com/polymers/polyisobutene.html', 'https://anl.app.box.com/file/972215335424', '10.1021/ma801465r', 'Prediction of Polymer Properties 3rd edition, Jozef Bicerano ']"
37,302.0,C=CCC(C)C,"['https://www.polymerdatabase.com/polymers/polyisobutylethylene.html', 'https://anl.app.box.com/file/972215335424', 'Prediction of Polymer Properties 3rd edition, Jozef Bicerano ', 'Prediction of Polymer Properties 3rd edition, Jozef Bicerano ']"
38,322.9999999999999,C=CC(C)C,"['https://www.polymerdatabase.com/polymers/polyisopropylethylene.html', 'https://anl.app.box.com/file/972215335424', 'Prediction of Polymer Properties 3rd edition, Jozef Bicerano ']"
39,268.0,C=C(C)CC,['https://www.polymerdatabase.com/polymers/Polyethypropylene.html']
40,232.0,C=CCCCCCCCC,['https://www.polymerdatabase.com/polymers/polydecene.html']
41,225.43291685111117,C=CCCCCC,"['https://www.polymerdatabase.com/polymers/polyheptene.html', 'https://anl.app.box.com/file/972215335424']"
42,256.8507157534822,C=CC,"['https://www.polymerdatabase.com/polymers/polypropylene.html', 'https://anl.app.box.com/file/972215335424', 'Prediction of Polymer Properties 3rd edition, Jozef Bicerano ', 'Prediction of Polymer Properties 3rd edition, Jozef Bicerano ']"
43,227.891902692521,C=CCCC,"['https://www.polymerdatabase.com/polymers/polypentene.html', 'https://anl.app.box.com/file/972215335424', 'Prediction of Polymer Properties 3rd edition, Jozef Bicerano ']"
44,337.0,C=CC(C)(C)C,['https://www.polymerdatabase.com/polymers/polytert-butylethylene.html']
45,384.0,O=C1CCN1,['https://www.polymerdatabase.com/polymers/nylon3.html']
46,329.96211903792835,O=C1CCCCCN1,"['https://www.polymerdatabase.com/polymers/nylon6.html', 'https://anl.app.box.com/file/972215335424']"
47,324.0,O=C1CCCCCCCN1,['https://www.polymerdatabase.com/polymers/nylon8.html']
48,315.666314429745,NCCCCCCCCCC(=O)O,"['https://www.polymerdatabase.com/polymers/nylon10.html', 'https://anl.app.box.com/file/972215335424', 'Prediction of Polymer Properties 3rd edition, Jozef Bicerano ']"
49,319.7610113368883,NCCCCCCCCCCC(=O)O,"['https://www.polymerdatabase.com/polymers/nylon11.html', 'https://anl.app.box.com/file/972215335424', 'Prediction of Polymer Properties 3rd edition, Jozef Bicerano ']"
50,310.99679142549127,NCCCCCCCCCCCC(=O)O,"['https://www.polymerdatabase.com/polymers/nylon12.html', 'https://anl.app.box.com/file/972215335424', 'Prediction of Polymer Properties 3rd edition, Jozef Bicerano ']"
51,353.0,NCCCCN.O=C(O)CCCCC(=O)O,['https://www.polymerdatabase.com/polymers/nylon4-6.html']
52,324.0,NCCCCCCN.O=C(O)CCCCC(=O)O,['https://www.polymerdatabase.com/polymers/nylon66.html']
53,332.0,NCCCCCCN.O=C(O)CCCCCCCC(=O)O,['https://www.polymerdatabase.com/polymers/nylon6-9.html']
54,323.0,NCCCCCCN.O=C(O)CCCCCCCCC(=O)O,['https://www.polymerdatabase.com/polymers/nylon6-10.html']
55,319.0,NCCCCCCN.O=C(O)CCCCCCCCCCC(=O)O,['https://www.polymerdatabase.com/polymers/nylon612.html']
56,323.0,NCCCCCCCCCCN.O=C(O)CCCCCCCCC(=O)O,['https://www.polymerdatabase.com/polymers/nylon10-10.html']
57,395.0,NCCCCCCN.O=C(Cl)c1cccc(C(=O)Cl)c1,['https://www.polymerdatabase.com/polymers/Polyhexanediylisophthalamide.html']
58,412.0,NCCCCCCN.O=C(Cl)c1ccc(C(=O)Cl)cc1,['https://www.polymerdatabase.com/polymers/Polyhexanediylteraphthalamide.html']
59,600.0,Nc1ccc(N)cc1.O=C(Cl)c1ccc(C(=O)Cl)cc1,['https://www.polymerdatabase.com/polymers/kevlar.html']
60,537.0,Nc1cccc(N)c1.O=C(Cl)c1cccc(C(=O)Cl)c1,['https://www.polymerdatabase.com/polymers/polym-phenyleneterephthalamide.html']
61,394.0,NCCCCCCCCCN.O=C(Cl)c1ccc(C(=O)Cl)cc1,['https://www.polymerdatabase.com/polymers/Polynonanediylteraphthalamide.html']
62,320.0,CC(=O)OC(C)=O.O=C(O)c1ccc(CCCCCc2ccc(C(=O)O)cc2)cc1,['https://www.polymerdatabase.com/polymers/polyp-pentamethylenedibenzoicanhydride.html']
63,316.0,CC(=O)OC(C)=O.O=C(O)c1ccc(CCCCc2ccc(C(=O)O)cc2)cc1,['https://www.polymerdatabase.com/polymers/polyp-tetramethylenedibenzoicanhydride.html']
66,198.02892139514867,C=CC=C,"['https://www.polymerdatabase.com/polymers/poly12-butadiene.html', 'https://www.polymerdatabase.com/polymers/poly14-butadiene.html', '10.1021/ma802488a']"
67,178.0,C1=CCCC1,"['https://www.polymerdatabase.com/polymers/poly-1-pentenylene.html', 'https://www.polymerdatabase.com/polymers/poly-1-pentenylene.html']"
68,197.0,C=CC=CCC,['https://www.polymerdatabase.com/polymers/Poly1-ethyl-14-butadiene.html']
69,210.07101792122734,C=CC=CC,"['https://www.polymerdatabase.com/polymers/polyisoprene.html', 'https://anl.app.box.com/file/972215335424', 'Prediction of Polymer Properties 3rd edition, Jozef Bicerano ']"
71,373.0,COC(=O)/C=C/C(=O)OC,['https://www.polymerdatabase.com/polymers/polydimethylfumarate.html']
73,284.0,CCOC(=O)/C=C/C(=O)OCC,['https://www.polymerdatabase.com/polymers/polydiethylfumarate.html']
74,268.0,CCCOC(=O)/C=C/C(=O)OCCC,['https://www.polymerdatabase.com/polymers/polydipropylfumarate.html']
75,368.61532609604313,FC(F)=C(F)Cl,"['https://www.polymerdatabase.com/polymers/Polychlorotrifluoroethylene.html', 'https://anl.app.box.com/file/972215335424', 'Prediction of Polymer Properties 3rd edition, Jozef Bicerano ']"
76,301.5,FC(F)=C(F)F,['https://www.polymerdatabase.com/polymers/polytetrafluoroethylene.html']
77,373.0,C=CBr,['https://www.polymerdatabase.com/polymers/polyvinylbromide.html']
78,351.5696978137325,C=CCl,"['https://www.polymerdatabase.com/polymers/polyvinylchloride.html', 'https://anl.app.box.com/file/972215335424', 'Prediction of Polymer Properties 3rd edition, Jozef Bicerano ', 'Prediction of Polymer Properties 3rd edition, Jozef Bicerano ']"
79,289.5,C=CF,['https://www.polymerdatabase.com/polymers/polyvinylfluoride.html']
80,262.9068276024797,C=C(Cl)Cl,"['https://www.polymerdatabase.com/polymers/polyvinylidenechloride.html', 'https://anl.app.box.com/file/972215335424']"
81,235.2181241963242,C=C(F)F,"['https://www.polymerdatabase.com/polymers/polyvinylidenefluoride.html', 'https://anl.app.box.com/file/972215335424', '10.1021/ma061554a', 'Prediction of Polymer Properties 3rd edition, Jozef Bicerano ']"
82,436.0,C=C(C#N)C(=O)OC,['https://www.polymerdatabase.com/polymers/polymethylcyanoacrylate.html']
83,422.0,C=C(C#N)C(=O)OCC,['https://www.polymerdatabase.com/polymers/polyethylcyanoacrylate.html']
84,374.0,C=C(C#N)C(=O)OCCCC,['https://www.polymerdatabase.com/polymers/polybutylcyanoacrylate.html']
85,359.0,C=C(C#N)C(=O)OCCCCCC,['https://www.polymerdatabase.com/polymers/polyhexylcyanoacrylate.html']
86,322.0,C=C(C#N)C(=O)OCCCCCCCC,['https://www.polymerdatabase.com/polymers/polyoctylcyanoacrylate.html']
87,372.0,CC(C)(c1ccc(O)cc1)c1ccc(O)cc1.ClCC1CO1,['https://www.polymerdatabase.com/polymers/bisphenol-adiglycidyletherepoxyresin.html']
88,410.0,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1.NCCN,['https://www.polymerdatabase.com/polymers/polybis-adiglycidylether-alt-ethylenediamine.html']
89,386.0,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1.NCCCCCCN,['https://www.polymerdatabase.com/polymers/polybis-adiglycidylether-alt-hexanediamine.html']
90,376.0,CC(C)(c1ccc(OCC2CO2)cc1)c1ccc(OCC2CO2)cc1.NCCCCCCCCN,['https://www.polymerdatabase.com/polymers/polybis-adiglycidylether-alt-Octanediamine.html']
91,462.0,CC(C)(c1ccc(O)cc1)c1ccc(O)cc1.O=C(O)c1cccc(C(=O)O)c1,"['https://www.polymerdatabase.com/polymers/PolybisphenolAisophthalate.html', 'https://www.polymerdatabase.com/polymers/PolybisphenolAisophthalate.html']"
92,473.9915847699205,CC(C)(c1ccc(O)cc1)c1ccc(O)cc1.O=C(O)c1ccc(C(=O)O)cc1,"['https://www.polymerdatabase.com/polymers/poly(bisphenolAterephthalate).html', 'https://www.polymerdatabase.com/polymers/poly(bisphenolAterephthalate).html', 'Prediction of Polymer Properties 3rd edition, Jozef Bicerano ']"
93,297.0,O=C(O)c1cccc(C(=O)O)c1.OCCCCO,"['https://www.polymerdatabase.com/polymers/polybutyleneisophthalate.html', 'https://www.polymerdatabase.com/polymers/polybutyleneisophthalate.html']"
94,220.8891124523796,O=C(O)CCCCCCCCC(=O)O.OCCCCO,"['https://www.polymerdatabase.com/polymers/Polytetramethylenesebacate.html', 'https://www.polymerdatabase.com/polymers/Polytetramethylenesebacate.html']"
95,239.9916665219857,O=C(O)CCC(=O)O.OCCCCO,"['https://www.polymerdatabase.com/polymers/Polybutylene%20succinate.html', 'https://www.polymerdatabase.com/polymers/Polybutylene%20succinate.html']"
96,313.0,O=C(O)c1ccc(C(=O)O)cc1.OCCCCO,"['https://www.polymerdatabase.com/polymers/polybutyleneterephthalate.html', 'https://www.polymerdatabase.com/polymers/polybutyleneterephthalate.html']"
97,244.0,O=C(O)CCCCCCCCC(=O)O.OCCO,"['https://www.polymerdatabase.com/polymers/polyethylenesebacate.html', 'https://www.polymerdatabase.com/polymers/polyethylenesebacate.html']"
98,267.0,O=C(O)CCC(=O)O.OCCO,"['https://www.polymerdatabase.com/polymers/Polyethylene%20succinate.html', 'https://www.polymerdatabase.com/polymers/Polyethylene%20succinate.html']"
99,253.59622164852564,O=C1CCCCCO1,"['https://www.polymerdatabase.com/polymers/polycaprolactone.html', 'https://anl.app.box.com/file/972215335424', '10.1021/ma802618h', '10.1021/ma101945f', '10.1021/ma9011076', '10.1021/ma300291q', '10.1021/ma9000622', '10.1021/ma0712394']"
100,364.0,O=C(O)c1ccc(C(=O)O)cc1.OCC1CCC(CO)CC1,"['https://www.polymerdatabase.com/polymers/Polycyclohexanedimethylene%20terephthalate.html', 'https://www.polymerdatabase.com/polymers/Polycyclohexanedimethylene%20terephthalate.html']"
101,324.0,O=C(O)c1cccc(C(=O)O)c1.OCCO,"['https://www.polymerdatabase.com/polymers/polyethyleneisophthalate.html', 'https://www.polymerdatabase.com/polymers/polyethyleneisophthalate.html']"
102,392.0,O=C(O)c1ccc2cc(C(=O)O)ccc2c1.OCCO,['https://www.polymerdatabase.com/polymers/polyethylenenaphthalate.html']
103,297.0,O=C(O)c1ccccc1C(=O)O.OCCO,['https://www.polymerdatabase.com/polymers/polyethylenephthalate.html']
104,344.0,O=C(O)c1ccc(C(=O)O)cc1.OCCO,"['https://www.polymerdatabase.com/polymers/polyethyleneterephthalate.html', 'https://www.polymerdatabase.com/polymers/polyethyleneterephthalate.html']"
105,312.0,O=C1COC(=O)CO1,['https://www.polymerdatabase.com/polymers/polyglycolide.html']
106,213.0,O=C(O)CCCCCCCCC(=O)O.OCCCCCCO,"['https://www.polymerdatabase.com/polymers/Polyhexamethylenesebacate.html', 'https://www.polymerdatabase.com/polymers/Polyhexamethylenesebacate.html']"
107,220.0,O=C(O)CCC(=O)O.OCCCCCCO,"['https://www.polymerdatabase.com/polymers/Polyhexylene%20succinate.html', 'https://www.polymerdatabase.com/polymers/Polyhexylene%20succinate.html']"
108,276.0,CC1CC(=O)O1,['https://www.polymerdatabase.com/polymers/poly3-hydroxybutyrate.html']
109,331.49962292587907,CC(O)C(=O)O,"['https://www.polymerdatabase.com/polymers/polylacticacid.html', '10.1021/ma302081e']"
110,232.0,O=C(O)CCC(=O)O.OCCCO,"['https://www.polymerdatabase.com/polymers/Polypropylene%20succinate.html', 'https://www.polymerdatabase.com/polymers/Polypropylene%20succinate.html']"
111,326.0,O=C(O)c1ccc(C(=O)O)cc1.OCCCO,"['https://www.polymerdatabase.com/polymers/polytrimethyleneterephthalate.html', 'https://www.polymerdatabase.com/polymers/polytrimethyleneterephthalate.html']"
112,211.0,C=O,['https://www.polymerdatabase.com/polymers/polyacetal.html']
113,193.99999999999994,CCCCOCC1CO1,"['https://www.polymerdatabase.com/polymers/Poly3-butoxypropylene%20oxide.html', 'https://anl.app.box.com/file/972215335424', 'Prediction of Polymer Properties 3rd edition, Jozef Bicerano ']"
114,253.0,ClCC1CO1,['https://www.polymerdatabase.com/polymers/polyepichlorohydrin.html']
115,272.9010809799038,C1CO1,"['https://www.polymerdatabase.com/polymers/polyethyleneglycol.html', '10.1021/ma900690e']"
116,204.0,C1CCCOCC1,['https://www.polymerdatabase.com/polymers/Polyhexamethylene%20oxide.html']
117,210.99999999999994,COCC1CO1,"['https://www.polymerdatabase.com/polymers/Polyglycidyl%20methyl%20ether.html', 'https://anl.app.box.com/file/972215335424', 'Prediction of Polymer Properties 3rd edition, Jozef Bicerano ']"
118,188.33274405711842,CCCCCCOCC1CO1,"['https://www.polymerdatabase.com/polymers/Poly2-(hexoxymethyl)oxirane.html', 'https://anl.app.box.com/file/972215335424', 'Prediction of Polymer Properties 3rd edition, Jozef Bicerano ']"
119,209.0,C1COCO1,['https://www.polymerdatabase.com/polymers/polyoxymethyleneoxyethylene.html']
120,205.66612583299317,CC1CO1,"['https://www.polymerdatabase.com/polymers/polypropyleneglycol.html', 'https://anl.app.box.com/file/972215335424', 'Prediction of Polymer Properties 3rd edition, Jozef Bicerano ']"
121,189.0,C1CCOC1,['https://www.polymerdatabase.com/polymers/polytetrahydrofuran.html']
122,197.0,C1COC1,['https://www.polymerdatabase.com/polymers/Polytrimethylene%20glycol.html']
123,272.0,ClCC1(CCl)COC1,['https://www.polymerdatabase.com/polymers/polybis(chloromethyl)trimethylene%20oxide.html']
124,431.0,O=C([O-])[O-].O=C(c1ccc(Cl)cc1)c1ccc(Cl)cc1.[Na+].[Na+],['https://www.polymerdatabase.com/polymers/polyetherketone.html']
125,437.0,O=C(Cl)c1ccc(C(=O)Cl)cc1.c1ccc(Oc2ccccc2)cc1,['https://www.polymerdatabase.com/polymers/polyetherketoneketone.html']
126,421.0,O=C(c1ccc(Cl)cc1)c1ccc(Cl)cc1.[Na]Oc1ccc(O[Na])cc1,['https://www.polymerdatabase.com/polymers/polyetheretherketone.html']
127,291.0,C=C.[C-]#[O+],['https://www.polymerdatabase.com/polymers/polyethyleneketone.html']
128,312.0,C=CC.[C-]#[O+],['https://www.polymerdatabase.com/polymers/polypropyleneketone.html']
129,479.0,O=S(=O)(c1ccc(Cl)cc1)c1ccc(Cl)cc1.Oc1ccc(O)cc1,['https://www.polymerdatabase.com/polymers/polyetherethersulfone.html']
130,490.0,O=S(=O)(c1ccc(Cl)cc1)c1ccc(Cl)cc1.O=S(=O)(c1ccc(O)cc1)c1ccc(O)cc1,['https://www.polymerdatabase.com/polymers/polyethersulfone.html']
131,482.0,O=S(=O)(c1ccc(Cl)cc1)c1ccc(Cl)cc1.Oc1ccc(-c2ccc(O)cc2)cc1,['https://www.polymerdatabase.com/polymers/polyphenylsulfone.html']
132,459.0,CC(C)(c1ccc(O)cc1)c1ccc(O)cc1.O=S(=O)(c1ccc(Cl)cc1)c1ccc(Cl)cc1,['https://www.polymerdatabase.com/polymers/bisphenolapolysulfone.html']
133,237.0,C=CC(=C)Cl,['https://www.polymerdatabase.com/polymers/polychloroprene.html']
134,233.0,C=CC=CBr,['https://www.polymerdatabase.com/polymers/poly1-bromo-1-butenylene.html']
135,414.99033025323143,C=Cc1ccc(Br)cc1,"['https://www.polymerdatabase.com/polymers/poly4-bromostyrene.html', 'https://anl.app.box.com/file/972215335424', 'Prediction of Polymer Properties 3rd edition, Jozef Bicerano ']"
136,392.99745977073803,C=Cc1ccccc1Cl,"['https://www.polymerdatabase.com/polymers/poly2-chlorostyrene.html', 'https://anl.app.box.com/file/972215335424', 'Prediction of Polymer Properties 3rd edition, Jozef Bicerano ']"
137,362.9999999999999,C=Cc1cccc(Cl)c1,"['https://www.polymerdatabase.com/polymers/poly3-chlorostyrene.html', 'https://anl.app.box.com/file/972215335424', 'Prediction of Polymer Properties 3rd edition, Jozef Bicerano ']"
138,391.2307381335643,C=Cc1ccc(Cl)cc1,"['https://www.polymerdatabase.com/polymers/poly4-chlorostyrene.html', 'https://anl.app.box.com/file/972215335424', 'Prediction of Polymer Properties 3rd edition, Jozef Bicerano ', 'Prediction of Polymer Properties 3rd edition, Jozef Bicerano ']"
139,373.9999999999999,C=Cc1cc(F)ccc1F,"['https://www.polymerdatabase.com/polymers/poly25-difluorostyrene.html', 'https://anl.app.box.com/file/972215335424', 'Prediction of Polymer Properties 3rd edition, Jozef Bicerano ']"
140,377.9973498129842,C=Cc1ccc(F)cc1,"['https://www.polymerdatabase.com/polymers/poly4-fluorostyrene.html', 'https://anl.app.box.com/file/972215335424', 'Prediction of Polymer Properties 3rd edition, Jozef Bicerano ']"
141,259.0,C=CC(=O)OCCO,['https://www.polymerdatabase.com/polymers/Poly2-hydroxyethyl%20acrylate.html']
142,367.157323228068,C=C(C)C(=O)OCCO,"['https://www.polymerdatabase.com/polymers/Poly2-hydroxyethyl-2-methylpropenoate.html', 'https://www.polymerdatabase.com/polymers/Poly2-hydroxyethyl-2-methylpropenoate.html', 'https://anl.app.box.com/file/972215335424', 'Prediction of Polymer Properties 3rd edition, Jozef Bicerano ']"
143,349.0,C=C(C)C(=O)OCC(C)O,"['https://www.polymerdatabase.com/polymers/Poly2-hydroxypropylmethacrylate.html', 'https://www.polymerdatabase.com/polymers/Poly2-hydroxypropylmethacrylate.html', 'https://anl.app.box.com/file/972215335424', 'Prediction of Polymer Properties 3rd edition, Jozef Bicerano ']"
144,281.0,O=C=NCCCCCCN=C=O.OCCOCCO,['https://www.polymerdatabase.com/polymers/hexamethylenediisocyanatediethyleneglycol.html']
145,285.0,O=C=NCCCCCCN=C=O.OCCOCCOCCOCCO,['https://www.polymerdatabase.com/polymers/hexamethylenediisocyanatetetraethyleneglycol.html']
146,363.0,O=C=Nc1ccc(Cc2ccc(N=C=O)cc2)cc1.OCCCCO,['https://www.polymerdatabase.com/polymers/butanedioldiphenylmethanediisocyanate.html']
147,412.0,O=C=Nc1ccc(Cc2ccc(N=C=O)cc2)cc1.OCCO,['https://www.polymerdatabase.com/polymers/ethyleneglycoldiphenylmethanediisocyanate.html']
148,373.0,C=C(CC(=O)OC)C(=O)OC,['https://www.polymerdatabase.com/polymers/polydimethylitaconate.html']
149,306.0,C=C(CC(=O)OCCC)C(=O)OCCC,['https://www.polymerdatabase.com/polymers/polydin-propylitaconate.html']
150,285.0,C=C(CC(=O)OCCCC)C(=O)OCCCC,['https://www.polymerdatabase.com/polymers/polydin-butylitaconate.html']
151,255.0,C=C(CC(=O)OCCCCCC)C(=O)OCCCCCC,['https://www.polymerdatabase.com/polymers/polydin-hexylitaconate.html']
154,486.5,C=C(C)C(N)=O,['https://www.polymerdatabase.com/polymers/Polymethacrylamide.html']
155,433.0,C=C(C)C(=O)NC(C)(C)C,['https://www.polymerdatabase.com/polymers/PolyN-tert-butylmethacrylamide.html']
156,501.0,C=C(C)C(=O)O,['https://www.polymerdatabase.com/polymers/polymethacrylicacid.html']
157,327.0,C=C(C)C(=O)OCc1ccccc1,"['https://www.polymerdatabase.com/polymers/polybenzylmethacrylate.html', '10.1021/ma900922d']"
158,294.5874826473249,C=C(C)C(=O)OCCCC,"['https://www.polymerdatabase.com/polymers/polybutylmethacrylate.html', 'https://anl.app.box.com/file/972215335424', '10.1021/acs.macromol.5b00299', '10.1021/ma401536r', 'Prediction of Polymer Properties 3rd edition, Jozef Bicerano ']"
159,364.72585406841216,C=C(C)C(=O)OC1CCCCC1,"['https://www.polymerdatabase.com/polymers/polycyclohexylmethacrylate.html', 'https://anl.app.box.com/file/972215335424', 'Prediction of Polymer Properties 3rd edition, Jozef Bicerano ']"
160,211.0,C=C(C)C(=O)OCCCCCCCCCC,['https://www.polymerdatabase.com/polymers/polydecylmethacrylate.html']
161,217.99999999999994,C=C(C)C(=O)OCCCCCCCCCCCC,"['https://www.polymerdatabase.com/polymers/polydodecylmethacrylate.html', 'https://anl.app.box.com/file/972215335424', 'Prediction of Polymer Properties 3rd edition, Jozef Bicerano ']"
163,327.4446753955217,C=C(C)C(=O)OCC,"['https://www.polymerdatabase.com/polymers/polyethylmethacrylate.html', 'https://anl.app.box.com/file/972215335424', 'Prediction of Polymer Properties 3rd edition, Jozef Bicerano ', 'Prediction of Polymer Properties 3rd edition, Jozef Bicerano ']"
164,264.5338836970414,C=C(C)C(=O)OCCCCCC,"['https://www.polymerdatabase.com/polymers/polyhexylmethacrylate.html', 'https://anl.app.box.com/file/972215335424', '10.1021/ma401536r', 'Prediction of Polymer Properties 3rd edition, Jozef Bicerano ', 'Prediction of Polymer Properties 3rd edition, Jozef Bicerano ']"
165,324.4625167312505,C=C(C)C(=O)OCC(C)C,"['https://www.polymerdatabase.com/polymers/polyisobutylmethacrylate.html', 'https://anl.app.box.com/file/972215335424', 'Prediction of Polymer Properties 3rd edition, Jozef Bicerano ']"
166,336.3942014503065,C=C(C)C(=O)OC(C)C,"['https://www.polymerdatabase.com/polymers/polyisopropylmethacrylate.html', 'https://anl.app.box.com/file/972215335424', 'Prediction of Polymer Properties 3rd edition, Jozef Bicerano ']"
